COACHES,AGE BEFORE,YEAR JOINED,YEAR LEFT,GRADE BEFORE,GRADE AFTER,years
Tomasz Wiktorowski,22,2011,2018,1,8,$7
Tomasz Wiktorowski,18,2019,2020,11,11,$1
,,,,,,$0
Piotr Sierzputowski,15,2016,2021,,,$5
,,,,,,$0
Anton Dubrov,22,2020,2021,1,1,$1
,,,,,,$0
Dmitry Tursunov,31,2017,2018,2,11,$1
Dmitry Tursunov,20,2018,2020,,,$2
Dmitry Tursunov,26,2021,2022,1,2,$1
Dmitry Tursunov,21,2022,2022,8,8,$0
Dmitry Tursunov,25,2022,2023,2,2,$1
Dmitry Tursunov,26,2023,2023,2,2,$0
,,,,,,$0
Khalil Ibrahimov,18,2016,2018,11,2,$2
,,,,,,$0
Stefano Vukov,20,2019,2022,,,$3
,,,,,,
Brad Gilbert,24,1994,2002,1,1,$8
Brad Gilbert,21,2003,2004,1,1,$1
Brad Gilbert,19,2006,2007,2,2,$1
Brad Gilbert,23,2007,2009,11,,$2
Brad Gilbert,21,2010,2011,10,4,$1
Brad Gilbert,25,2012,2015,3,,$3
Brad Gilbert,19,2023,2023,3,,$0
,,,,,,$0
David Witt,27,2007,2018,1,4,$11
David Witt,24,2018,2022,11,,$4
,,,,,,$0
Michael Joyce,18,2012,2017,11,,$5
Michael Joyce,28,2017,2017,12,12,$0
Michael Joyce,27,2018,2018,4,4,$0
Michael Joyce,24,2018,2019,9,9,$1
Michael Joyce,26,2019,2020,11,11,$1
,,,,,,
Bertrand Perret,28,2021,2021,,,$0
Bertrand Perret,24,2018,2020,7,4,$2
,,,,,,$0
Zdeněk Kubík,14,2013,2014,,,$1
Zdeněk Kubík,18,2019,2019,14,14,$0
,,,,,,$0
Tom Hill,24,2017,2018,11,4,$1
Tom Hill,23,2018,2020,5,1,$2
,,,,,,$0
Thomas Johansson,22,2017,2018,6,5,$1
Thomas Johansson,26,2018,2019,10,4,$1
Thomas Johansson,26,2016,2020,2,2,$4
Thomas Johansson,32,2022,2023,4,3,$1
,,,,,,$0
David Kotyza,18,2008,2016,5,2,$8
David Kotyza,26,2016,2016,2,2,$0
David Kotyza,24,2016,2017,1,1,$1
David Kotyza,24,2020,2022,3,11,$2
,,,,,,$0
Stas Khmarsky,15,2013,2018,6,12,$5
Stas Khmarsky,24,2021,2022,3,2,$1
Stas Khmarsky,20,2022,2022,7,,$0
,,,,,,$0
Philippe Dehaes,21,2021,2023,10,11,$2
Philippe Dehaes,25,2022,2023,12,,$1
,,,,,,$0
Vladimír Pláteník,18,2007,2009,6,3,$2
Vladimír Pláteník,18,2015,2017,8,3,$2
Vladimír Pláteník,21,2018,2018,4,4,$0
,,,,,,$0
Pere Riba,19,2021,2023,11,2,$2
Pere Riba,19,2023,2023,1,1,$0
Pere Riba,21,2023,2023,2,,$0
