COACHES,PLAYERS,AGE BEFORE,AGE AFTER,RANK BEFORE,RANK PEAK,RANK AFTER,CHANGE,YEAR JOINED,YEAR LEFT,GRADE BEFORE,GRADE AFTER,EARNING BEFORE,EARNING AFTER,EARNING DIFFERENCE,COUNTRY,COACH EARNING
Tomasz Wiktorowski,Agnieszka Radwańska,22,29,8,3,75,67,2011,2018,1,8,"$2,811,484","$521,465","-$2,290,019",Poland,
Tomasz Wiktorowski,Iga Świątek,21,21,1,1,1,0,2022,,1,1,"$2,811,484","$2,811,484",$0,Poland,
Tomasz Wiktorowski,Olga Danilović ,18,19,188,183,183,-5,2019,2020,11,11,"$252,676","$252,676",$0,Poland,
,,,,,,,0,,,,,,,0,,
Piotr Sierzputowski,Iga Świątek,15,20,858,9,9,-849,2016,2021,,,,,0,Poland,
Piotr Sierzputowski,Shelby Rogers,30,,46,,,-46,2022,,5,,"$731,739",,"-$731,739",Poland ,
,,,,,,,0,,,,,,,0,,
Anton Dubrov,Aryna Sabalenka,22,,10,1,2,-8,2020,,1,1,"$2,811,484","$2,811,484",$0,Belarus,
,,,,,,,0,,,,,,,0,,
Dmitry Tursunov,Elena Vesnina,31,32,18,18,137,119,2017,2018,2,11,"$1,614,396","$252,676","-$1,361,720",Russia,
Dmitry Tursunov,Aryna Sabalenka,20,22,  ,1,,#VALUE!,2018,2020,,,,,0,Russia,
Dmitry Tursunov,Anett Kontaveit,26,27,7,7,17,10,2021,2022,1,2,"$2,811,484","$1,614,396","-$1,197,088",Russia,
Dmitry Tursunov,Emma Raducanu,21,21,75,75,75,0,2022,2022,8,8,"$521,465","$521,465",$0,Russia,
Dmitry Tursunov,Belinda Bencic ,25,26,12,12,17,5,2022,2023,2,2,"$1,614,396","$1,614,396",$0,Russia,
Dmitry Tursunov,Veronika Kudermetova ,26,26,19,19,19,0,2023,2023,2,2,"$1,614,396","$1,614,396",$0,Russia,
,,,,,,,0,,,,,,,0,,
Khalil Ibrahimov,Aryna Sabalenka,18,20,155,1,11,-144,2016,2018,11,2,"$252,676","$1,614,396","$1,361,720",,
,,,,,,,0,,,,,,,0,,
Stefano Vukov,Elena Rybakina,20,,36,,4,-32,2019,,,,,,0,Croatia,
Stefano Vukov,Anhelina Kalinina,,22,,,36,36,,2019,,4,,"$888,169","$888,169",Croatia,
Stefano Vukov,Sachia Vickery,,,,,,0,,,,,,,0,Croatia,
Stefano Vukov,Renata Zarazúa,,,,,,0,,,,,,,0,Croatia,
,,,,,,,0,,,,,,,0,,
Andrei Chesnokov,Elena Vesnina,,,,,,0,,,,,,,0,Russia,
,,,,,,,0,,,,,,,0,,
Brad Gilbert,Andre Agassi,24,32,2,1,2,0,1994,2002,1,1,"$2,811,484","$2,811,484",$0,US,
Brad Gilbert,Andy Roddick,21,22,1,1,2,1,2003,2004,1,1,"$2,811,484","$2,811,484",$0,US,
Brad Gilbert,Andy Murray,19,20,17,11,11,-6,2006,2007,2,2,"$1,614,396","$1,614,396",$0,US,
Brad Gilbert,Alex Bogdanović,23,,161,,,-161,2007,,11,,"$252,676",,"-$252,676",US,
Brad Gilbert,Kei Nishikori,21,22,98,25,25,-73,2010,2011,10,4,"$447,755","$888,169","$440,414",US,
Brad Gilbert,Sam Querrey,25,,22,,,-22,2012,,3,,"$1,209,845",,"-$1,209,845",US,
Brad Gilbert,Coco Gauff,19,,3,,,-3,2023,,3,,"$1,209,845",,"-$1,209,845",US,
,,,,,,,0,,,,,,,0,,
David Witt,Venus Williams,27,38,8,5,40,32,2007,2018,1,4,"$2,811,484","$888,169","-$1,923,315",US,
David Witt,Jessica Pegula,24,,125,,,-125,2018,,11,,"$252,676",,"-$252,676",US,
,,,,,,,0,,,,,,,0,,
Michael Joyce,Jessica Pegula,18,23,147,147,632,485,2012,2017,11,,"$252,676",,"-$252,676",US,
Michael Joyce,Victoria Azarenka,28,28,208,208,208,0,2017,2017,12,12,"$97,257","$97,257",$0,US,
Michael Joyce,Johanna Konta,27,27,39,39,39,0,2018,2018,4,4,"$888,169","$888,169",$0,US,
Michael Joyce,Eugenie Bouchard,24,25,89,89,220,131,2018,2019,9,9,"$483,610","$483,610",$0,US,
Michael Joyce,Tímea Babos,26,,104,104,177,73,2019,,11,11,"$252,676","$252,676",$0,US,
,,,,,,,0,,,,,,,0,,
Issam Jellali,Ons Jabeur,,29,,,,0,,2023,,,,,0,Tunisia,
,,,,,,,0,,,,,,,0,,
Bertrand Perret,Caroline Garcia (april 2023,28,28,,,,0,2021,2021,,,,,0,France,
Bertrand Perret,Ons Jabeur,24,26,62,31,31,-31,2018,2020,7,4,"$564,318","$888,169","$323,851",France,
,,,,,,,0,,,,,,,0,,
Jan Hernych,,,,,,,0,,,,,,,0,,
,,,,,,,0,,,,,,,0,,
Martin Fassati,,,,,,,0,,,,,,,0,,
,,,,,,,0,,,,,,,0,,
Zdeněk Kubík,Markéta Vondroušová,14,15,,,,0,2013,2014,,,,,0,Czechia,
Zdeněk Kubík,Oona Orpana,18,18,495,495,495,0,2019,2019,14,14,"$17,304","$17,304",$0,Czechia,
,,,,,,,0,,,,,,,0,,
Tom Hill,Danielle Collins,24,25,167,36,36,-131,2017,2018,11,4,"$252,676","$888,169","$635,493",England,
Tom Hill,Maria Sakkari,23,27,41,6,9,-32,2018,,5,1,"$731,739","$2,811,484","$2,079,745",England,
,,,,,,,0,,,,,,,0,,
Thomas Johansson,Maria Sakkari,22,23,52,41,41,-11,2017,2018,6,5,"$614,339","$731,739","$117,400",Sweden,
Thomas Johansson,Filip Krajinović,26,27,95,40,40,-55,2018,2019,10,4,"$447,755","$888,169","$440,414",Sweden,
Thomas Johansson,David Goffin,26,30,11,11,15,4,"2016 , 2019",2020,2,2,"$1,614,396","$1,614,396",$0,Sweden,
Thomas Johansson,Sorana Cîrstea,32,,38,26,26,-12,2022,,4,3,"$888,169","$1,209,845","$321,676",Sweden ,
,,,,,,,0,,,,,,,0,,
Emil MiÅ¡ke,,,,,,,0,,,,,,,0,,
,,,,,,,0,,,,,,,0,,
David Kotyza,Petra Kvitová,18,26,44,2,11,-33,2008,2016,5,2,"$731,739","$1,614,396","$882,657",Czechia,
David Kotyza,Caroline Wozniacki,26,26,19,19,19,0,2016,2016,2,2,"$1,614,396","$1,614,396",$0,Czechia,
David Kotyza,Karolína Plíšková,24,25,6,6,7,1,2016,2017,1,1,"$2,811,484","$2,811,484",$0,Czechia,
David Kotyza,Karolína Muchová,24,26,27,27,149,122,2020,2022,3,11,"$1,209,845","$252,676","-$957,169",Czechia,
,,,,,,,0,,,,,,,0,,
Stas Khmarsky,Alex Dolgopolov ,15,20,57,23,299,242,2013,2018,6,12,"$614,339","$97,257","-$517,082",Ukraine,
